#E_pot  E_kin  T  P
-5.915585e-02 7.485466e+02 3.000982e+02 8.286605e+02
-8.811237e-02 7.440889e+02 2.983111e+02 8.237258e+02
-1.313192e-01 7.432985e+02 2.979942e+02 8.228508e+02
-1.938497e-01 7.462903e+02 2.991936e+02 8.261628e+02
-2.777187e-01 7.518170e+02 3.014093e+02 8.322810e+02
-3.842758e-01 7.532319e+02 3.019766e+02 8.338473e+02
-5.114328e-01 7.498487e+02 3.006202e+02 8.301021e+02
-6.437179e-01 7.524138e+02 3.016486e+02 8.329417e+02
-7.494378e-01 7.549926e+02 3.026824e+02 8.357964e+02
-7.966735e-01 7.550795e+02 3.027173e+02 8.358927e+02
-7.869788e-01 7.574333e+02 3.036609e+02 8.384983e+02
-7.367108e-01 7.544021e+02 3.024457e+02 8.351428e+02
-6.508726e-01 7.556138e+02 3.029315e+02 8.364841e+02
-5.359942e-01 7.583839e+02 3.040421e+02 8.395508e+02
-4.190624e-01 7.591195e+02 3.043370e+02 8.403650e+02
-3.186214e-01 7.608390e+02 3.050263e+02 8.422686e+02
-2.367443e-01 7.617413e+02 3.053881e+02 8.432675e+02
-1.725837e-01 7.576944e+02 3.037656e+02 8.387874e+02
-1.228929e-01 7.580941e+02 3.039259e+02 8.392299e+02
-8.616394e-02 7.617482e+02 3.053908e+02 8.432751e+02
-6.079663e-02 7.616280e+02 3.053426e+02 8.431420e+02
-4.330751e-02 7.558174e+02 3.030131e+02 8.367095e+02
-3.160573e-02 7.567103e+02 3.033711e+02 8.376980e+02
-2.352388e-02 7.548711e+02 3.026337e+02 8.356620e+02
-1.759017e-02 7.569597e+02 3.034711e+02 8.379741e+02
-1.333615e-02 7.540790e+02 3.023162e+02 8.347851e+02
-1.024283e-02 7.545380e+02 3.025002e+02 8.352932e+02
-7.964414e-03 7.554930e+02 3.028831e+02 8.363504e+02
-6.272600e-03 7.600412e+02 3.047065e+02 8.413854e+02
-5.010278e-03 7.616664e+02 3.053580e+02 8.431845e+02
-4.063613e-03 7.637415e+02 3.061899e+02 8.454817e+02
-3.338360e-03 7.637504e+02 3.061935e+02 8.454916e+02
-2.759896e-03 7.618239e+02 3.054212e+02 8.433589e+02
-2.292569e-03 7.643585e+02 3.064373e+02 8.461648e+02
-1.910792e-03 7.647897e+02 3.066102e+02 8.466421e+02
-1.582931e-03 7.624697e+02 3.056801e+02 8.440738e+02
-1.316908e-03 7.625493e+02 3.057120e+02 8.441620e+02
-1.105387e-03 7.646502e+02 3.065543e+02 8.464877e+02
-9.328142e-04 7.606062e+02 3.049330e+02 8.420109e+02
-7.923629e-04 7.632643e+02 3.059987e+02 8.449535e+02
-6.749751e-04 7.663460e+02 3.072341e+02 8.483649e+02
-5.774244e-04 7.635065e+02 3.060958e+02 8.452216e+02
-4.985400e-04 7.606039e+02 3.049321e+02 8.420084e+02
-4.350221e-04 7.660889e+02 3.071311e+02 8.480804e+02
-3.804907e-04 7.678682e+02 3.078444e+02 8.500501e+02
-3.326432e-04 7.629582e+02 3.058759e+02 8.446146e+02
-2.905673e-04 7.654338e+02 3.068684e+02 8.473552e+02
-2.536408e-04 7.622479e+02 3.055912e+02 8.438283e+02
-2.218350e-04 7.603779e+02 3.048415e+02 8.417581e+02
