#E_pot  E_kin  T  P
-4.043190e-04 6.931572e+02 2.778922e+02 7.673431e+02
-3.913988e-04 8.117427e+02 3.254340e+02 8.986203e+02
-3.881848e-04 7.831325e+02 3.139640e+02 8.669480e+02
-4.099207e-04 7.584571e+02 3.040714e+02 8.396318e+02
-4.283472e-04 7.354776e+02 2.948587e+02 8.141929e+02
-4.502712e-04 7.114924e+02 2.852429e+02 7.876406e+02
-4.732653e-04 8.315916e+02 3.333916e+02 9.205935e+02
-4.692786e-04 7.169070e+02 2.874136e+02 7.936347e+02
-4.792837e-04 7.892197e+02 3.164044e+02 8.736867e+02
-4.907573e-04 7.523353e+02 3.016171e+02 8.328547e+02
-5.181695e-04 7.745759e+02 3.105336e+02 8.574757e+02
-5.515560e-04 6.938089e+02 2.781534e+02 7.680645e+02
-5.739826e-04 7.628503e+02 3.058327e+02 8.444952e+02
-5.833273e-04 7.106396e+02 2.849010e+02 7.866966e+02
-5.646300e-04 7.443614e+02 2.984203e+02 8.240275e+02
-5.458661e-04 6.555015e+02 2.627957e+02 7.256572e+02
-5.491481e-04 6.869746e+02 2.754135e+02 7.604988e+02
-5.435300e-04 6.820400e+02 2.734352e+02 7.550360e+02
-5.537926e-04 7.683269e+02 3.080283e+02 8.505578e+02
-5.809503e-04 7.589373e+02 3.042639e+02 8.401634e+02
-5.966064e-04 7.452920e+02 2.987934e+02 8.250577e+02
-6.305313e-04 7.183828e+02 2.880053e+02 7.952685e+02
-6.276562e-04 7.651583e+02 3.067580e+02 8.470502e+02
-6.150513e-04 7.005239e+02 2.808455e+02 7.754981e+02
-6.272049e-04 8.042850e+02 3.224442e+02 8.903644e+02
-5.679729e-04 7.358783e+02 2.950194e+02 8.146364e+02
-4.989415e-04 7.214910e+02 2.892514e+02 7.987094e+02
-4.687927e-04 7.822270e+02 3.136009e+02 8.659456e+02
-4.872058e-04 6.949409e+02 2.786072e+02 7.693176e+02
-4.984287e-04 8.011288e+02 3.211788e+02 8.868704e+02
-4.795830e-04 7.644751e+02 3.064841e+02 8.462938e+02
-4.940443e-04 8.166413e+02 3.273979e+02 9.040431e+02
-5.279004e-04 7.848382e+02 3.146478e+02 8.688363e+02
-5.734343e-04 7.390354e+02 2.962851e+02 8.181314e+02
-5.923964e-04 8.022678e+02 3.216355e+02 8.881313e+02
-5.869601e-04 7.855266e+02 3.149238e+02 8.695984e+02
-6.050036e-04 7.256334e+02 2.909121e+02 8.032950e+02
-6.151827e-04 7.422752e+02 2.975840e+02 8.217180e+02
-5.609710e-04 7.512792e+02 3.011937e+02 8.316857e+02
-5.658590e-04 8.067496e+02 3.234322e+02 8.930928e+02
-6.324751e-04 7.332866e+02 2.939803e+02 8.117673e+02
-6.222606e-04 7.094386e+02 2.844195e+02 7.853670e+02
-6.069650e-04 7.929491e+02 3.178995e+02 8.778154e+02
-5.775151e-04 8.386840e+02 3.362350e+02 9.284450e+02
-5.697750e-04 7.602657e+02 3.047965e+02 8.416339e+02
-6.089528e-04 7.269889e+02 2.914555e+02 8.047956e+02
-5.829474e-04 7.019344e+02 2.814110e+02 7.770597e+02
-5.599836e-04 7.458490e+02 2.990167e+02 8.256743e+02
-6.288769e-04 7.484219e+02 3.000482e+02 8.285225e+02
-6.962683e-04 7.343443e+02 2.944044e+02 8.129383e+02
-7.105230e-04 7.076744e+02 2.837122e+02 7.834140e+02
-7.194932e-04 7.260095e+02 2.910629e+02 8.037114e+02
-6.817051e-04 7.123665e+02 2.855933e+02 7.886083e+02
-7.027185e-04 8.381732e+02 3.360302e+02 9.278796e+02
-7.673063e-04 6.612479e+02 2.650995e+02 7.320187e+02
-7.471089e-04 7.495138e+02 3.004860e+02 8.297313e+02
-7.904921e-04 7.648126e+02 3.066194e+02 8.466675e+02
-8.661158e-04 7.364350e+02 2.952426e+02 8.152527e+02
-8.413678e-04 7.573071e+02 3.036104e+02 8.383587e+02
-8.740692e-04 7.535621e+02 3.021090e+02 8.342129e+02
-9.237476e-04 7.216243e+02 2.893048e+02 7.988568e+02
-9.206163e-04 7.223139e+02 2.895813e+02 7.996203e+02
-9.426168e-04 7.674331e+02 3.076699e+02 8.495684e+02
-9.810108e-04 7.896968e+02 3.165957e+02 8.742150e+02
-9.944732e-04 7.889349e+02 3.162902e+02 8.733715e+02
-8.967494e-04 7.321982e+02 2.935440e+02 8.105625e+02
-8.559649e-04 7.358165e+02 2.949946e+02 8.145680e+02
-8.349397e-04 7.020906e+02 2.814736e+02 7.772326e+02
-8.394910e-04 7.549862e+02 3.026799e+02 8.357894e+02
-9.068705e-04 7.603627e+02 3.048354e+02 8.417413e+02
-8.658250e-04 7.419967e+02 2.974723e+02 8.214096e+02
