#E_pot  E_kin  T  P
-3.261071e-04 7.243388e+02 2.903931e+02 8.018619e+02
-2.958284e-04 7.969156e+02 3.194897e+02 8.822063e+02
-2.715169e-04 7.366179e+02 2.953159e+02 8.154552e+02
-2.547397e-04 7.308918e+02 2.930203e+02 8.091163e+02
-2.454935e-04 8.077327e+02 3.238264e+02 8.941811e+02
-2.580488e-04 7.858706e+02 3.150617e+02 8.699792e+02
-2.912018e-04 7.358683e+02 2.950154e+02 8.146253e+02
-3.304728e-04 7.032739e+02 2.819480e+02 7.785425e+02
-3.675218e-04 7.768546e+02 3.114471e+02 8.599983e+02
-3.818403e-04 7.735102e+02 3.101063e+02 8.562959e+02
-3.727448e-04 7.973799e+02 3.196759e+02 8.827203e+02
-3.794229e-04 8.247825e+02 3.306618e+02 9.130557e+02
-4.075605e-04 7.801605e+02 3.127725e+02 8.636580e+02
-4.385640e-04 7.725159e+02 3.097077e+02 8.551952e+02
-4.481200e-04 6.527477e+02 2.616917e+02 7.226087e+02
-4.188751e-04 6.611290e+02 2.650518e+02 7.318870e+02
-3.718266e-04 6.661549e+02 2.670667e+02 7.374509e+02
-3.615098e-04 7.343903e+02 2.944229e+02 8.129892e+02
-3.632516e-04 7.649629e+02 3.066796e+02 8.468338e+02
-3.467250e-04 7.256760e+02 2.909292e+02 8.033422e+02
-3.196581e-04 7.663226e+02 3.072248e+02 8.483391e+02
-2.827878e-04 7.504548e+02 3.008632e+02 8.307730e+02
-2.667450e-04 7.907931e+02 3.170352e+02 8.754286e+02
-2.740731e-04 7.801464e+02 3.127668e+02 8.636424e+02
-2.611532e-04 7.518823e+02 3.014355e+02 8.323533e+02
-2.346732e-04 7.972785e+02 3.196352e+02 8.826080e+02
-2.217167e-04 7.821210e+02 3.135584e+02 8.658283e+02
-2.200377e-04 6.948202e+02 2.785589e+02 7.691840e+02
-2.278301e-04 7.565011e+02 3.032872e+02 8.374665e+02
-2.343164e-04 7.266411e+02 2.913161e+02 8.044106e+02
-2.321240e-04 7.090951e+02 2.842818e+02 7.849867e+02
-2.300510e-04 7.267055e+02 2.913419e+02 8.044819e+02
-2.297101e-04 7.729151e+02 3.098677e+02 8.556372e+02
-2.356243e-04 7.458196e+02 2.990049e+02 8.256417e+02
-2.391086e-04 7.289387e+02 2.922372e+02 8.069541e+02
-2.408791e-04 6.477558e+02 2.596904e+02 7.170826e+02
-2.567130e-04 7.525576e+02 3.017062e+02 8.331008e+02
-2.727620e-04 7.881990e+02 3.159951e+02 8.725568e+02
-2.885234e-04 6.674714e+02 2.675945e+02 7.389082e+02
-2.891647e-04 6.765697e+02 2.712421e+02 7.489803e+02
-2.895364e-04 6.623401e+02 2.655373e+02 7.332277e+02
-2.944457e-04 7.168743e+02 2.874005e+02 7.935985e+02
-2.676991e-04 7.792427e+02 3.124045e+02 8.626419e+02
-2.386899e-04 7.143137e+02 2.863740e+02 7.907638e+02
-2.210785e-04 7.800389e+02 3.127237e+02 8.635234e+02
-2.102368e-04 7.817476e+02 3.134088e+02 8.654150e+02
-2.051275e-04 7.373529e+02 2.956106e+02 8.162689e+02
-2.047339e-04 7.173504e+02 2.875914e+02 7.941256e+02
-2.077566e-04 7.231304e+02 2.899086e+02 8.005241e+02
-2.185316e-04 7.350650e+02 2.946933e+02 8.137361e+02
-2.282146e-04 7.996596e+02 3.205898e+02 8.852440e+02
-2.241853e-04 7.582747e+02 3.039983e+02 8.394298e+02
-2.259416e-04 7.453663e+02 2.988232e+02 8.251399e+02
