#E_pot  E_kin  T  P
-3.261071e-04 7.243388e+02 2.903931e+02 8.018619e+02
-3.026735e-04 7.343441e+02 2.944043e+02 8.129380e+02
-2.751200e-04 7.403672e+02 2.968190e+02 8.196057e+02
-2.463692e-04 7.449637e+02 2.986618e+02 8.246942e+02
-2.184045e-04 7.438679e+02 2.982225e+02 8.234812e+02
-1.937454e-04 7.336674e+02 2.941330e+02 8.121889e+02
-1.728359e-04 7.373039e+02 2.955909e+02 8.162146e+02
-1.549628e-04 7.389191e+02 2.962385e+02 8.180027e+02
-1.393781e-04 7.360564e+02 2.950908e+02 8.148336e+02
-1.250558e-04 7.389978e+02 2.962700e+02 8.180898e+02
-1.116190e-04 7.324503e+02 2.936451e+02 8.108415e+02
-9.974347e-05 7.298878e+02 2.926177e+02 8.080048e+02
-8.971901e-05 7.243046e+02 2.903794e+02 8.018241e+02
-8.108691e-05 7.268998e+02 2.914198e+02 8.046970e+02
-7.331746e-05 7.179979e+02 2.878510e+02 7.948424e+02
-6.603141e-05 7.171590e+02 2.875147e+02 7.939137e+02
-5.931943e-05 7.146027e+02 2.864898e+02 7.910838e+02
-5.346728e-05 7.196199e+02 2.885013e+02 7.966380e+02
-4.830042e-05 7.237354e+02 2.901512e+02 8.011939e+02
-4.364925e-05 7.296847e+02 2.925363e+02 8.077800e+02
-3.963050e-05 7.192249e+02 2.883429e+02 7.962007e+02
-3.626596e-05 7.300336e+02 2.926762e+02 8.081662e+02
-3.347206e-05 7.193088e+02 2.883765e+02 7.962936e+02
-3.125578e-05 7.262533e+02 2.911607e+02 8.039814e+02
-2.939492e-05 7.185336e+02 2.880658e+02 7.954355e+02
-2.780281e-05 7.169360e+02 2.874253e+02 7.936668e+02
-2.655053e-05 7.135416e+02 2.860644e+02 7.899091e+02
-2.557636e-05 7.119551e+02 2.854284e+02 7.881528e+02
-2.486483e-05 7.124512e+02 2.856273e+02 7.887020e+02
-2.438749e-05 6.962699e+02 2.791401e+02 7.707889e+02
