#E_pot  E_kin  T  P
-2.399833e-04 7.243896e+02 2.904135e+02 8.019182e+02
-2.508275e-04 7.243523e+02 2.903985e+02 8.018769e+02
-2.612221e-04 7.243499e+02 2.903976e+02 8.018742e+02
-2.709408e-04 7.243698e+02 2.904055e+02 8.018962e+02
-2.797495e-04 7.244147e+02 2.904235e+02 8.019459e+02
-2.874264e-04 7.244422e+02 2.904346e+02 8.019764e+02
-2.937603e-04 7.244074e+02 2.904206e+02 8.019378e+02
-2.985629e-04 7.244097e+02 2.904215e+02 8.019404e+02
-3.016722e-04 7.244448e+02 2.904356e+02 8.019792e+02
-3.029572e-04 7.244324e+02 2.904306e+02 8.019655e+02
-3.023703e-04 7.244462e+02 2.904362e+02 8.019808e+02
-2.999237e-04 7.244189e+02 2.904252e+02 8.019505e+02
-2.956705e-04 7.244415e+02 2.904343e+02 8.019756e+02
-2.897182e-04 7.244622e+02 2.904426e+02 8.019985e+02
-2.822223e-04 7.244869e+02 2.904525e+02 8.020258e+02
-2.733770e-04 7.244997e+02 2.904576e+02 8.020401e+02
-2.634019e-04 7.245113e+02 2.904623e+02 8.020529e+02
-2.525256e-04 7.244854e+02 2.904519e+02 8.020242e+02
-2.409969e-04 7.244864e+02 2.904523e+02 8.020254e+02
-2.290502e-04 7.245390e+02 2.904734e+02 8.020835e+02
-2.168990e-04 7.245415e+02 2.904744e+02 8.020863e+02
-2.047435e-04 7.245045e+02 2.904596e+02 8.020454e+02
-1.927532e-04 7.245194e+02 2.904655e+02 8.020618e+02
-1.810702e-04 7.244877e+02 2.904528e+02 8.020268e+02
-1.698087e-04 7.245144e+02 2.904635e+02 8.020564e+02
-1.590523e-04 7.244950e+02 2.904557e+02 8.020349e+02
-1.488562e-04 7.245105e+02 2.904619e+02 8.020520e+02
-1.392555e-04 7.245033e+02 2.904591e+02 8.020441e+02
-1.302716e-04 7.245433e+02 2.904751e+02 8.020883e+02
-1.219089e-04 7.245676e+02 2.904848e+02 8.021152e+02
-1.141564e-04 7.246300e+02 2.905099e+02 8.021843e+02
