#E_pot  E_kin  T  P
-1.467617e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.494233e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.514264e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.525813e-03 7.524121e+02 3.016479e+02 8.329397e+02
-1.527441e-03 7.524121e+02 3.016479e+02 8.329397e+02
-1.518228e-03 7.524121e+02 3.016479e+02 8.329397e+02
-1.497801e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.466332e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.424493e-03 7.524120e+02 3.016479e+02 8.329396e+02
-1.373385e-03 7.524119e+02 3.016478e+02 8.329396e+02
-1.314439e-03 7.524118e+02 3.016478e+02 8.329395e+02
-1.249303e-03 7.524118e+02 3.016478e+02 8.329394e+02
-1.179728e-03 7.524117e+02 3.016478e+02 8.329394e+02
-1.107463e-03 7.524116e+02 3.016477e+02 8.329393e+02
-1.034163e-03 7.524116e+02 3.016477e+02 8.329392e+02
-9.613236e-04 7.524115e+02 3.016477e+02 8.329391e+02
-8.902360e-04 7.524114e+02 3.016476e+02 8.329390e+02
-8.219614e-04 7.524114e+02 3.016476e+02 8.329390e+02
-7.573292e-04 7.524113e+02 3.016476e+02 8.329389e+02
-6.969464e-04 7.524112e+02 3.016476e+02 8.329388e+02
-6.412197e-04 7.524112e+02 3.016475e+02 8.329388e+02
-5.903818e-04 7.524111e+02 3.016475e+02 8.329387e+02
-5.445217e-04 7.524111e+02 3.016475e+02 8.329387e+02
-5.036132e-04 7.524110e+02 3.016475e+02 8.329386e+02
-4.675415e-04 7.524110e+02 3.016475e+02 8.329386e+02
-4.361265e-04 7.524110e+02 3.016475e+02 8.329385e+02
-4.091406e-04 7.524109e+02 3.016475e+02 8.329385e+02
-3.863230e-04 7.524109e+02 3.016474e+02 8.329385e+02
-3.673886e-04 7.524109e+02 3.016474e+02 8.329385e+02
-3.520342e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.399401e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.307705e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.241723e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.197729e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.171800e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.159827e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.157558e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.160676e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.164915e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.166209e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.160857e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.145702e-04 7.524108e+02 3.016474e+02 8.329384e+02
-3.118281e-04 7.524108e+02 3.016474e+02 8.329384e+02
-3.076951e-04 7.524108e+02 3.016474e+02 8.329384e+02
-3.020946e-04 7.524108e+02 3.016474e+02 8.329384e+02
-2.950383e-04 7.524108e+02 3.016474e+02 8.329384e+02
-2.866190e-04 7.524108e+02 3.016474e+02 8.329384e+02
-2.769982e-04 7.524108e+02 3.016474e+02 8.329384e+02
-2.663889e-04 7.524108e+02 3.016474e+02 8.329384e+02
-2.550372e-04 7.524108e+02 3.016474e+02 8.329383e+02
-2.432024e-04 7.524108e+02 3.016474e+02 8.329383e+02
-2.311400e-04 7.524108e+02 3.016474e+02 8.329383e+02
-2.190875e-04 7.524108e+02 3.016474e+02 8.329383e+02
-2.072535e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.958118e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.848990e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.746141e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.650220e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.561574e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.480296e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.406277e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.339259e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.278871e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.224674e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.176188e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.132918e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.094370e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.060067e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.029556e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.002415e-04 7.524106e+02 3.016473e+02 8.329382e+02
-9.782527e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.567150e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.374801e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.202592e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.047945e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.908569e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.782440e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.667775e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.563014e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.466801e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.377961e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.295489e-05 7.524106e+02 3.016473e+02 8.329381e+02
-8.218532e-05 7.524106e+02 3.016473e+02 8.329381e+02
-8.146382e-05 7.524106e+02 3.016473e+02 8.329381e+02
-8.078457e-05 7.524106e+02 3.016473e+02 8.329381e+02
-8.014299e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.953564e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.896014e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.841514e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.790022e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.741594e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.696371e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.654585e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.616549e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.582662e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.553404e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.529334e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.511091e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.499386e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.495007e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.498803e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.511683e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.534603e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.568547e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.614510e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.673463e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.746324e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.833907e-05 7.524106e+02 3.016473e+02 8.329381e+02
-7.936871e-05 7.524106e+02 3.016473e+02 8.329381e+02
-8.055655e-05 7.524106e+02 3.016473e+02 8.329381e+02
-8.190406e-05 7.524106e+02 3.016473e+02 8.329381e+02
-8.340902e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.506471e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.685911e-05 7.524106e+02 3.016473e+02 8.329382e+02
-8.877426e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.078577e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.286260e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.496730e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.705666e-05 7.524106e+02 3.016473e+02 8.329382e+02
-9.908298e-05 7.524106e+02 3.016473e+02 8.329382e+02
-1.009959e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.027447e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.042813e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.055630e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.065560e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.072379e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.076004e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.076508e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.074134e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.069291e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.062551e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.054642e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.046434e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.038930e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.033270e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.030740e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.032806e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.041172e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.057873e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.085416e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.126999e-04 7.524106e+02 3.016473e+02 8.329382e+02
-1.186824e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.270566e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.386081e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.544480e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.761782e-04 7.524107e+02 3.016474e+02 8.329383e+02
-2.061530e-04 7.524107e+02 3.016474e+02 8.329383e+02
-2.478964e-04 7.524108e+02 3.016474e+02 8.329383e+02
-3.067841e-04 7.524108e+02 3.016474e+02 8.329384e+02
-3.911787e-04 7.524109e+02 3.016474e+02 8.329385e+02
-5.143583e-04 7.524111e+02 3.016475e+02 8.329386e+02
-6.978643e-04 7.524112e+02 3.016476e+02 8.329388e+02
-9.774401e-04 7.524115e+02 3.016477e+02 8.329392e+02
-1.413799e-03 7.524120e+02 3.016479e+02 8.329396e+02
-2.112557e-03 7.524127e+02 3.016482e+02 8.329404e+02
-3.261834e-03 7.524139e+02 3.016486e+02 8.329417e+02
-5.204099e-03 7.524159e+02 3.016494e+02 8.329439e+02
-8.573786e-03 7.524193e+02 3.016508e+02 8.329478e+02
-1.455583e-02 7.524255e+02 3.016533e+02 8.329546e+02
-2.534062e-02 7.524366e+02 3.016577e+02 8.329669e+02
-4.479145e-02 7.524565e+02 3.016657e+02 8.329890e+02
-7.892600e-02 7.524913e+02 3.016797e+02 8.330274e+02
-1.344973e-01 7.525470e+02 3.017020e+02 8.330891e+02
-2.121966e-01 7.526232e+02 3.017326e+02 8.331735e+02
-2.946970e-01 7.527023e+02 3.017643e+02 8.332611e+02
-3.454363e-01 7.527502e+02 3.017835e+02 8.333141e+02
-3.348624e-01 7.527403e+02 3.017795e+02 8.333031e+02
-2.695165e-01 7.526784e+02 3.017547e+02 8.332346e+02
-1.852564e-01 7.525970e+02 3.017221e+02 8.331445e+02
-1.139601e-01 7.525265e+02 3.016938e+02 8.330665e+02
-6.594439e-02 7.524781e+02 3.016744e+02 8.330129e+02
-3.736185e-02 7.524489e+02 3.016627e+02 8.329806e+02
-2.129047e-02 7.524324e+02 3.016561e+02 8.329623e+02
-1.240381e-02 7.524233e+02 3.016524e+02 8.329521e+02
-7.459275e-03 7.524182e+02 3.016503e+02 8.329465e+02
-4.656613e-03 7.524153e+02 3.016492e+02 8.329433e+02
-3.028068e-03 7.524136e+02 3.016485e+02 8.329415e+02
-2.054999e-03 7.524126e+02 3.016481e+02 8.329404e+02
-1.456210e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.076358e-03 7.524116e+02 3.016477e+02 8.329393e+02
-8.277384e-04 7.524114e+02 3.016476e+02 8.329390e+02
-6.597069e-04 7.524112e+02 3.016476e+02 8.329388e+02
-5.423675e-04 7.524111e+02 3.016475e+02 8.329387e+02
-4.576993e-04 7.524110e+02 3.016475e+02 8.329386e+02
-3.946242e-04 7.524109e+02 3.016474e+02 8.329385e+02
-3.462041e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.080161e-04 7.524108e+02 3.016474e+02 8.329384e+02
-2.771895e-04 7.524108e+02 3.016474e+02 8.329384e+02
-2.518265e-04 7.524108e+02 3.016474e+02 8.329383e+02
-2.306466e-04 7.524108e+02 3.016474e+02 8.329383e+02
-2.127662e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.975599e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.845721e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.734610e-04 7.524107e+02 3.016474e+02 8.329383e+02
-1.639619e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.558637e-04 7.524107e+02 3.016474e+02 8.329382e+02
-1.489935e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.432061e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.383773e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.343993e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.311774e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.286273e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.266741e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.252500e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.242942e-04 7.524107e+02 3.016473e+02 8.329382e+02
-1.237511e-04 7.524107e+02 3.016473e+02 8.329382e+02
