#E_pot  E_kin  T  P
-1.404453e-03 7.668501e+02 3.074362e+02 8.489231e+02
-1.282907e-03 7.838484e+02 3.142510e+02 8.677406e+02
-1.116667e-03 7.796651e+02 3.125738e+02 8.631095e+02
-9.803333e-04 7.800651e+02 3.127342e+02 8.635524e+02
-8.621631e-04 8.451528e+02 3.388284e+02 9.356062e+02
-7.923285e-04 8.125254e+02 3.257478e+02 8.994868e+02
-7.726185e-04 7.703077e+02 3.088224e+02 8.527506e+02
-7.508144e-04 7.946275e+02 3.185724e+02 8.796733e+02
-7.260728e-04 7.867210e+02 3.154026e+02 8.709206e+02
-7.225344e-04 8.028299e+02 3.218608e+02 8.887536e+02
-7.331268e-04 8.017316e+02 3.214205e+02 8.875377e+02
-7.900487e-04 8.104366e+02 3.249104e+02 8.971744e+02
-9.075833e-04 7.780512e+02 3.119268e+02 8.613230e+02
-1.032858e-03 8.067261e+02 3.234228e+02 8.930668e+02
-1.164238e-03 7.893863e+02 3.164712e+02 8.738712e+02
-1.356489e-03 7.697625e+02 3.086038e+02 8.521471e+02
-1.574384e-03 7.655034e+02 3.068963e+02 8.474322e+02
-1.644607e-03 6.960475e+02 2.790509e+02 7.705427e+02
-1.631307e-03 6.910434e+02 2.770447e+02 7.650030e+02
-1.673455e-03 7.047592e+02 2.825435e+02 7.801868e+02
-1.757540e-03 6.997808e+02 2.805476e+02 7.746756e+02
-1.918315e-03 6.876563e+02 2.756868e+02 7.612535e+02
-2.150652e-03 7.141761e+02 2.863188e+02 7.906115e+02
-2.389778e-03 7.124209e+02 2.856151e+02 7.886685e+02
-2.552647e-03 7.095394e+02 2.844599e+02 7.854786e+02
-2.570830e-03 6.829164e+02 2.737866e+02 7.560063e+02
-2.592439e-03 6.680447e+02 2.678244e+02 7.395429e+02
-2.501413e-03 7.057561e+02 2.829432e+02 7.812904e+02
-2.312269e-03 7.074590e+02 2.836258e+02 7.831755e+02
-2.140947e-03 7.162811e+02 2.871627e+02 7.929418e+02
-1.829283e-03 6.969851e+02 2.794268e+02 7.715807e+02
-1.459300e-03 6.738467e+02 2.701504e+02 7.459659e+02
-1.136049e-03 6.817257e+02 2.733092e+02 7.546881e+02
-8.487189e-04 7.274394e+02 2.916362e+02 8.052943e+02
-6.455353e-04 7.325339e+02 2.936786e+02 8.109341e+02
-5.382219e-04 6.697627e+02 2.685131e+02 7.414448e+02
-4.724491e-04 7.004203e+02 2.808040e+02 7.753836e+02
-4.179839e-04 7.000124e+02 2.806405e+02 7.749320e+02
-3.657566e-04 6.967459e+02 2.793309e+02 7.713159e+02
-3.240205e-04 7.187397e+02 2.881484e+02 7.956636e+02
-3.018127e-04 7.347389e+02 2.945626e+02 8.133751e+02
-2.855931e-04 6.966270e+02 2.792832e+02 7.711842e+02
-2.722871e-04 7.153499e+02 2.867894e+02 7.919110e+02
-2.664864e-04 7.281733e+02 2.919304e+02 8.061069e+02
-2.707048e-04 7.518348e+02 3.014165e+02 8.323008e+02
-2.891559e-04 7.601469e+02 3.047489e+02 8.415024e+02
-3.196957e-04 8.024168e+02 3.216952e+02 8.882963e+02
-3.695860e-04 7.870128e+02 3.155196e+02 8.712437e+02
-4.513704e-04 7.811003e+02 3.131492e+02 8.646984e+02
-5.716174e-04 7.415121e+02 2.972780e+02 8.208732e+02
-7.455664e-04 7.150984e+02 2.866886e+02 7.916326e+02
-9.953797e-04 7.279457e+02 2.918391e+02 8.058548e+02
-1.387601e-03 7.160526e+02 2.870711e+02 7.926889e+02
-1.835797e-03 7.287173e+02 2.921485e+02 8.067090e+02
-2.061773e-03 7.489228e+02 3.002490e+02 8.290770e+02
-2.209075e-03 7.605401e+02 3.049065e+02 8.419377e+02
-2.352117e-03 7.343280e+02 2.943979e+02 8.129202e+02
-2.477426e-03 7.091796e+02 2.843157e+02 7.850803e+02
-2.612621e-03 7.416583e+02 2.973366e+02 8.210351e+02
-2.660538e-03 7.290650e+02 2.922879e+02 8.070940e+02
-2.640441e-03 7.219507e+02 2.894357e+02 7.992182e+02
-2.521812e-03 7.152135e+02 2.867347e+02 7.917599e+02
-2.426692e-03 7.709364e+02 3.090744e+02 8.534466e+02
-2.397964e-03 7.752923e+02 3.108208e+02 8.582687e+02
-2.473148e-03 7.194616e+02 2.884378e+02 7.964627e+02
-2.907572e-03 7.033378e+02 2.819736e+02 7.786133e+02
-3.593819e-03 7.291573e+02 2.923249e+02 8.071961e+02
-4.370744e-03 7.084169e+02 2.840099e+02 7.842360e+02
-5.406575e-03 7.007441e+02 2.809338e+02 7.757419e+02
-6.978976e-03 7.224833e+02 2.896492e+02 7.998079e+02
-8.820254e-03 7.085421e+02 2.840601e+02 7.843745e+02
-1.081807e-02 7.254115e+02 2.908232e+02 8.030494e+02
-1.457398e-02 6.868783e+02 2.753749e+02 7.603922e+02
-2.026187e-02 7.358647e+02 2.950139e+02 8.146214e+02
-2.608543e-02 7.216618e+02 2.893199e+02 7.988984e+02
-3.174338e-02 7.375051e+02 2.956716e+02 8.164373e+02
-3.197946e-02 7.363588e+02 2.952120e+02 8.151684e+02
-2.514382e-02 7.383171e+02 2.959971e+02 8.173362e+02
-1.689456e-02 7.558936e+02 3.030437e+02 8.367939e+02
